nombre,codigo,carrera,semestre,seccion,es_obligatorio,no_periodos,solo_tarde,necesita_salon,laboratorio
Área Matemática Intermedia 1,3013,AREA COMUN,3,A,FALSE,3,TRUE,FALSE,TRUE
Área Social Humanística 1,3003,AREA COMUN,1,B,FALSE,3,TRUE,FALSE,TRUE
Deportes 1,3082,AREA COMUN,1,F,FALSE,3,TRUE,FALSE,TRUE
Deportes 1,3082,AREA COMUN,1,E,FALSE,3,TRUE,FALSE,TRUE
Deportes 1,3082,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,TRUE
Deportes 1,3082,AREA COMUN,1,B,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Intermedia 1,3013,AREA COMUN,3,A,FALSE,3,TRUE,FALSE,TRUE
Técnicas De Estudio E Investigación,3005,AREA COMUN,1,B,FALSE,3,TRUE,FALSE,TRUE
Deportes 1,3082,AREA COMUN,1,F,FALSE,3,TRUE,FALSE,FALSE
Deportes 1,3082,AREA COMUN,1,E,FALSE,3,TRUE,FALSE,FALSE
Deportes 1,3082,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,FALSE
Deportes 1,3082,AREA COMUN,1,B,FALSE,3,TRUE,FALSE,FALSE
Física 1,3014,AREA COMUN,3,A,FALSE,3,TRUE,FALSE,FALSE
Área Matemática Básica 1,3000,AREA COMUN,1,B,FALSE,3,TRUE,FALSE,TRUE
Deportes 1,3082,AREA COMUN,1,F,FALSE,3,TRUE,FALSE,FALSE
Deportes 1,3082,AREA COMUN,1,E,FALSE,3,TRUE,FALSE,FALSE
Deportes 1,3082,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,FALSE
Deportes 1,3082,AREA COMUN,1,B,FALSE,3,TRUE,FALSE,FALSE
Área Matemática Básica 1,3000,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,TRUE
Practicas Finales Mec Industrial,2742,ING. MECANICA INDUSTRIAL,10,F,FALSE,3,TRUE,FALSE,TRUE
Deportes 1,3082,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,FALSE
Deportes 1,3082,AREA COMUN,1,E,FALSE,3,TRUE,FALSE,FALSE
Deportes 1,3082,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,FALSE
Deportes 1,3082,AREA COMUN,1,B,FALSE,3,TRUE,FALSE,FALSE
Practicas Finales Mec Industrial,2742,ING. MECANICA INDUSTRIAL,10,A,FALSE,3,TRUE,FALSE,TRUE
Practicas Finales Industrial,2740,ING. INDUSTRIAL,10,A,FALSE,3,TRUE,FALSE,TRUE
Deportes 1,3082,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,FALSE
Deportes 1,3082,AREA COMUN,1,E,FALSE,3,TRUE,FALSE,FALSE
Deportes 1,3082,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,FALSE
Deportes 1,3082,AREA COMUN,1,B,FALSE,3,TRUE,FALSE,FALSE
Física 1,3014,AREA COMUN,3,A,FALSE,3,TRUE,FALSE,TRUE
Practica Inicial Ti,2807,ING. SISTEMAS,5,A,TRUE,3,TRUE,FALSE,TRUE
Estadistica 2,950,ING. SISTEMAS,5,A,FALSE,3,TRUE,FALSE,FALSE
Estadística 2,3024,AREA COMUN,4,A,FALSE,3,TRUE,FALSE,FALSE
Psicologia Industrial,925,ING. INDUSTRIAL,9,B,FALSE,3,TRUE,FALSE,TRUE
Psicología Industrial,3017,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,TRUE
Diseño De Estructuras Metalicas,1058,ING. CIVIL,9,E,FALSE,3,TRUE,FALSE,TRUE
Técnicas De Estudio E Investigación,3005,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,TRUE
Física 2,3023,AREA COMUN,4,A,FALSE,3,TRUE,FALSE,TRUE
Fisica 2,147,ING. CIVIL,4,A,FALSE,3,TRUE,FALSE,TRUE
Química 2,3008,AREA COMUN,2,A,FALSE,3,TRUE,FALSE,TRUE
Química 2,3088,AREA COMUN,2,C,FALSE,3,TRUE,FALSE,TRUE
Concreto Armado 2,936,ING. CIVIL,8,D,FALSE,3,TRUE,FALSE,TRUE
Técnicas De Estudio E Investigación,3005,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,TRUE
Informática,3002,AREA COMUN,1,D,FALSE,3,TRUE,FALSE,TRUE
Introducción A La Programación Y Computación 1,3234,ING. SISTEMAS,3,A,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Básica 2,3006,AREA COMUN,2,B,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Básica 1,3000,AREA COMUN,1,B,FALSE,3,TRUE,FALSE,TRUE
Técnicas De Estudio E Investigación,3005,AREA COMUN,1,D,FALSE,3,TRUE,FALSE,TRUE
Investigacion De Operaciones 1,685,ING. INDUSTRIAL,6,A,FALSE,3,TRUE,FALSE,TRUE
Ingenieria De La Produccion,945,ING. INDUSTRIAL,8,B,FALSE,3,TRUE,FALSE,TRUE
Psicologia Industrial,925,ING. INDUSTRIAL,9,A,FALSE,3,TRUE,FALSE,TRUE
Psicología Industrial,3017,AREA COMUN,1,C,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Básica 2,3006,AREA COMUN,2,C,FALSE,3,TRUE,FALSE,TRUE
Química General 1,3001,AREA COMUN,1,C,FALSE,3,TRUE,FALSE,TRUE
Resistencia De Materiales 1,672,ING. CIVIL,5,A,FALSE,3,TRUE,FALSE,TRUE
Resistencia De Materiales 1,3031,AREA COMUN,5,A,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Básica 1,3000,AREA COMUN,1,A,FALSE,3,TRUE,FALSE,TRUE
Física Básica,3007,AREA COMUN,2,A,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Intermedia 3,3022,AREA COMUN,4,A,FALSE,3,TRUE,FALSE,TRUE
Matematica Intermedia 3,292,ING. CIVIL,4,D,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Intermedia 1,3013,AREA COMUN,3,B,FALSE,3,TRUE,FALSE,TRUE
Prácticas Iniciales (Industrial Y Mecánica Industrial),3020,AREA COMUN,2,A,FALSE,3,TRUE,FALSE,TRUE
Hidraulica De Canales,1061,ING. CIVIL,7,A,FALSE,3,TRUE,FALSE,TRUE
Arquitectura De Computadores Y Ensambladores 2,2815,ING. SISTEMAS,7,A,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Básica 2,3006,AREA COMUN,2,B,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Básica 1,3000,AREA COMUN,1,B,FALSE,3,TRUE,FALSE,TRUE
Área Social Humanística 1,3003,AREA COMUN,1,E,FALSE,3,TRUE,FALSE,TRUE
Mecanica Analitica 1,109,ING. MECANICA,4,A,FALSE,3,TRUE,FALSE,TRUE
Seminario De Investigacion,2671,ING. INDUSTRIAL,9,A,FALSE,3,TRUE,FALSE,TRUE
Filosofia De La Ciencia,77,ING. CIVIL,2,A,FALSE,3,TRUE,FALSE,FALSE
Filosofía De La Ciencia,3026,AREA COMUN,2,A,FALSE,3,TRUE,FALSE,FALSE
Área Matemática Básica 2,3006,AREA COMUN,2,C,FALSE,3,TRUE,FALSE,TRUE
Área Matemática Básica 1,3000,AREA COMUN,1,C,FALSE,3,TRUE,FALSE,TRUE
